id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_hutan_rakyat,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,11896.72,HEKTAR,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,44175.68,HEKTAR,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,33777.94,HEKTAR,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10454.54,HEKTAR,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,26925.25,HEKTAR,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,44318.54,HEKTAR,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31707.44,HEKTAR,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16798.26,HEKTAR,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,14843.15,HEKTAR,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9662.0,HEKTAR,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14338.72,HEKTAR,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,HEKTAR,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,14544.0,HEKTAR,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,407.0,HEKTAR,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2310.0,HEKTAR,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,788.44,HEKTAR,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2250.0,HEKTAR,2010
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,HEKTAR,2010
19,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2010
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2010
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2010
22,32,JAWA BARAT,3274,KOTA CIREBON,40.0,HEKTAR,2010
23,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2010
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2010
25,32,JAWA BARAT,3277,KOTA CIMAHI,100.0,HEKTAR,2010
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4755.58,HEKTAR,2010
27,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2010
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,15951.08,HEKTAR,2011
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45527.68,HEKTAR,2011
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40007.91,HEKTAR,2011
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,16607.59,HEKTAR,2011
32,32,JAWA BARAT,3205,KABUPATEN GARUT,26925.25,HEKTAR,2011
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,44318.54,HEKTAR,2011
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31707.44,HEKTAR,2011
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16798.26,HEKTAR,2011
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2011
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10757.0,HEKTAR,2011
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14338.72,HEKTAR,2011
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,HEKTAR,2011
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,13573.2,HEKTAR,2011
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3000.0,HEKTAR,2011
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2360.0,HEKTAR,2011
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,788.44,HEKTAR,2011
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2446.5,HEKTAR,2011
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,HEKTAR,2011
46,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2011
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2011
48,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2011
49,32,JAWA BARAT,3274,KOTA CIREBON,45.0,HEKTAR,2011
50,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2011
51,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2011
52,32,JAWA BARAT,3277,KOTA CIMAHI,100.0,HEKTAR,2011
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4556.7,HEKTAR,2011
54,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2011
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,17298.67,HEKTAR,2012
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46976.68,HEKTAR,2012
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1755.29,HEKTAR,2012
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18705.6,HEKTAR,2012
59,32,JAWA BARAT,3205,KABUPATEN GARUT,37464.0,HEKTAR,2012
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,42019.0,HEKTAR,2012
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31707.44,HEKTAR,2012
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16792.26,HEKTAR,2012
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,13346.1,HEKTAR,2012
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10910.0,HEKTAR,2012
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14338.72,HEKTAR,2012
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,HEKTAR,2012
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,15686.2,HEKTAR,2012
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4500.0,HEKTAR,2012
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2360.0,HEKTAR,2012
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,788.44,HEKTAR,2012
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9271.25,HEKTAR,2012
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,HEKTAR,2012
73,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2012
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2012
75,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2012
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2012
77,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2012
78,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2012
79,32,JAWA BARAT,3277,KOTA CIMAHI,100.0,HEKTAR,2012
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4915.6,HEKTAR,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,16128.99,HEKTAR,2013
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,63410.32,HEKTAR,2013
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,46.42,HEKTAR,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15903.3,HEKTAR,2013
86,32,JAWA BARAT,3205,KABUPATEN GARUT,22985.53,HEKTAR,2013
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,43027.46,HEKTAR,2013
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,HEKTAR,2013
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23976.17,HEKTAR,2013
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,13346.1,HEKTAR,2013
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11360.0,HEKTAR,2013
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14812.63,HEKTAR,2013
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9061.41,HEKTAR,2013
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,16716.2,HEKTAR,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1250.0,HEKTAR,2013
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2319.8,HEKTAR,2013
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,888.44,HEKTAR,2013
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1285.0,HEKTAR,2013
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,59586.34,HEKTAR,2013
100,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2013
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2013
102,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2013
103,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2013
104,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2013
105,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2013
106,32,JAWA BARAT,3277,KOTA CIMAHI,55.0,HEKTAR,2013
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4673.3,HEKTAR,2013
108,32,JAWA BARAT,3279,KOTA BANJAR,1733.2,HEKTAR,2013
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,16354.76,HEKTAR,2014
