id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_penanaman_pohon,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2977.96,HEKTAR,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3403.0,HEKTAR,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3332.0,HEKTAR,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15757.8,HEKTAR,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,4370.66,HEKTAR,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1360.5,HEKTAR,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2610.0,HEKTAR,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,377.97,HEKTAR,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,578.93,HEKTAR,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1290.0,HEKTAR,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2682.8,HEKTAR,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,788.38,HEKTAR,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1280.0,HEKTAR,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1022.0,HEKTAR,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,847.5,HEKTAR,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,400.0,HEKTAR,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1102.14,HEKTAR,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3938.44,HEKTAR,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,10.0,HEKTAR,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,191.0,HEKTAR,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,200.0,HEKTAR,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,9660.62,HEKTAR,2014
