id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_sampah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,861919.33,TON PER HARI,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,205690.23,TON PER HARI,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,355554.29,TON PER HARI,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1156523.0,TON PER HARI,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,237389.82,TON PER HARI,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,293210.71,TON PER HARI,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,94302.11,TON PER HARI,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,121940.66,TON PER HARI,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,321930.2,TON PER HARI,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,134954.51,TON PER HARI,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,147401.81,TON PER HARI,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,411955.96,TON PER HARI,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,248500.24,TON PER HARI,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,148302.83,TON PER HARI,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,461023.63,TON PER HARI,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,565157.03,TON PER HARI,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,377371.42,TON PER HARI,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68758.79,TON PER HARI,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,862982.97,TON PER HARI,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,267302.34,TON PER HARI,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,2032364.07,TON PER HARI,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,276774.35,TON PER HARI,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,1861925.31,TON PER HARI,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,1512324.87,TON PER HARI,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,428036.82,TON PER HARI,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,222008.09,TON PER HARI,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,103427.92,TON PER HARI,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,869475.1,TON PER HARI,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,207785.29,TON PER HARI,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,360461.34,TON PER HARI,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1166002.7,TON PER HARI,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,239713.5,TON PER HARI,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,295533.32,TON PER HARI,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,95606.66,TON PER HARI,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,123199.17,TON PER HARI,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,324258.95,TON PER HARI,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,136227.67,TON PER HARI,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,148591.61,TON PER HARI,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,415021.88,TON PER HARI,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,250936.52,TON PER HARI,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,149847.65,TON PER HARI,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,465372.91,TON PER HARI,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,571300.04,TON PER HARI,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,380451.84,TON PER HARI,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69687.97,TON PER HARI,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,867942.64,TON PER HARI,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,268851.89,TON PER HARI,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,2044607.23,TON PER HARI,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,278295.09,TON PER HARI,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,1873860.72,TON PER HARI,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,1521546.37,TON PER HARI,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,430852.85,TON PER HARI,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,233817.03,TON PER HARI,2016
