id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1511.15,TON PER HARI,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,419.01,TON PER HARI,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,981.41,TON PER HARI,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1895.94,TON PER HARI,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,464.74,TON PER HARI,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,260.91,TON PER HARI,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,251.7,TON PER HARI,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,465.75,TON PER HARI,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,254.63,TON PER HARI,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,237.96,TON PER HARI,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,613.18,TON PER HARI,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,487.26,TON PER HARI,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,308.96,TON PER HARI,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,869.86,TON PER HARI,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1228.6,TON PER HARI,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,185.83,TON PER HARI,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,991.93,TON PER HARI,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,309.91,TON PER HARI,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,2448.63,TON PER HARI,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,304.15,TON PER HARI,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,2387.08,TON PER HARI,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,1844.3,TON PER HARI,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,563.21,TON PER HARI,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,472.36,TON PER HARI,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,130.21,TON PER HARI,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1511.15,TON PER HARI,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,419.01,TON PER HARI,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,981.41,TON PER HARI,2016
